Wallet,Amount,CumulativeAmount
"0x01dbb419d66be0d389fab88064493f1d698dc27a",3097000000000000000,3097000000000000000
"0x164c2b90f83b67d897ff00899695430841e38536",147569289484035663753,150666289484035663753
"0x327bb6e6fff2c05e542c63b0fcfdd270734738ef",2000000000000000000,152666289484035663753
"0x3b135dbf827508d8ed170548f157bdcd2dc857d3",1500000000000000000,154166289484035663753
"0x7f379a0d99d224d487ae4751cbf261ae6037153e",22650000000000000000,176816289484035663753
"0x9f82984f02f42b31f24d37799c9d63604f9a6f15",1000000000000000000,177816289484035663753
"0xb32db51ba30c80a21a775635c1b6d6a01754fd06",12155000000000000000,189971289484035663753
"0xb3740cefcc201d5cf1fa59143976332563314d82",1600100000000000000000,1790071289484035663753
"0xb4e63046001074b223872137174eec63a7e12cf5",202122540786000000000,1992193830270035663753
"0xc7a13c9ceba109499c2c00af977591b55a03e6af",100000000000000,1992193930270035663753
"0xce9f93eb7f78fcb7e7d222c81f258535dc218d4b",3916872255691581126717,5909066185961616790470
"0xd0f706bf4738732145344dc407d36b88859c3349",10000000000000000,5909076185961616790470
"0xd74401db32ddd23127e7823887c5ca4d81631793",10021257240000000000,5919097443201616790470
