returnAddress	amount	tokenSymbol	tokenAddr	oldWallet	newWallet
'0x03118e02ce007a0f0d1c9d806c2a7d5ae2f26995	'92983000000000000000000	'FST	'0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7	'0x637cc72b210546e0af1590fd2c9153501f3d1bfd	'0x00fe8ef58dc8282cac6e1d275acf0821c5084e88
'0x03118e02ce007a0f0d1c9d806c2a7d5ae2f26995	'1071673822858548784718	'ETH	'0x0000000000000000000000000000000000000000	'0x637cc72b210546e0af1590fd2c9153501f3d1bfd	'0x00fe8ef58dc8282cac6e1d275acf0821c5084e88
'0x03118e02ce007a0f0d1c9d806c2a7d5ae2f26995	'12000000000000000000	'GNO	'0x6810e776880c02933d47db1b9fc05908e5386b96	'0x637cc72b210546e0af1590fd2c9153501f3d1bfd	'0x00fe8ef58dc8282cac6e1d275acf0821c5084e88
'	'90000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x10df28c3ccf3300dd8ff924d9f15440f46d918f7	'0x02e9da9a030bb80aedd37055d70352651a289628
'	'4060000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x01e5be25eb25a0b4ffb73d34a0b5b72b49dafa7a	'0x03447fcc5aecc0472f7e67fef89ebedaf6df7279
'	'102420000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x651a3731f717a17777c9d8d6f152aa9284978ea3	'0x037b5214e78154292ce5e6542e13ae28cbb3d295
'0x03d0a45aea9e63ca63173555549ceeddc5f5c789	'1109664063772724648	'ETH	'0x0000000000000000000000000000000000000000	'0x5ed38634c678a8d5a95234b4b7b2ca07e5bb80a0	'0x03d0a45aea9e63ca63173555549ceeddc5f5c789
'0x75d27075d8d9aa87e54f05a07a52c5a117436cc7	'1400000000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xf3ee7953a11d5ffae24d12a2e8d2d77afb5a2730	'0x05c7553432b2e237f7a0f40bb57f735eb68d538f
'	'1107300000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xc4623b433a77b870ef7a995c1443fe2e0657992b	'0x05d947d98970f730ade0bb5b004442e69d347e58
'	'11205400000000	'CRB	'0xaef38fbfbf932d1aef3b808bc8fbd8cd8e1f8bc5	'0xc4623b433a77b870ef7a995c1443fe2e0657992b	'0x05d947d98970f730ade0bb5b004442e69d347e58
'0x91d22a58414ad0e6d4f385cc6e88bd34e51d7d5a	'3500050000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x75520dafacbe7669820f82709ca2feae9ec4f57d	'0x0dbeb19372661621b2eb9172d8099b01a399abb7
'	'2375751000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x8b7af85a82c081ba4ba556e925547325fae43b98	'0x0f67e2a333aa78c047e356b0f74788b3ef2b2bfa
'	'70000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x2ddf00ef072b0375fd4c6f0acfd4cbe0065f9a69	'0x10950b7da1217a6d8b46526d32520e6c38711f2e
'	'2000000000000000000	'ICN	'0x888666ca69e0f178ded6d75b5726cee99a87d698	'0x8ae1a1a78c326abc8c7de3e70a8a6bdf9328e0ba	'0x1222eef923e7356d65d03f6ca90652d083c2a999
'	'185227590490000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xed1475eee0c969d4877bd05ffdd6bfdc84b821da	'0x12b6000043198627dd7f2a0d3858108925d436da
'	'55000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x32a5b17b23d70124c9910b177b131ce3281a930b	'0x12cbbd336cbf3ab3f0fdae21226f2d24a7920ea0
'	'60000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x260a28a165081f5cfe94454543514e76ae746410	'0x13d200f00b7801d3d995e8d23f19fa80b8db9149
'	'209028198209949667	'ETH	'0x0000000000000000000000000000000000000000	'0xc8987f22eadef2b68c59938d9a6dfb1fc0c4e0b6	'0x13fe219930dfeba2b252a8052ab8463309252f89
'0x1446bf7af9df857b23a725646d94f9ec49802227	'56370777896189830879613	'ETH	'0x0000000000000000000000000000000000000000	'0x01dbb419d66be0d389fab88064493f1d698dc27a	'0x1446bf7af9df857b23a725646d94f9ec49802227
'	'5776906500000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xe8ebb13902a7ab342163d2a241c1e4891798b56f	'0x1466e20b84c61b28382a2b0bf871c3340580f110
'	'7183304055646	'FUN	'0x419d0d8bdd9af5e606ae2232ed285aff190e711b	'0xe8ebb13902a7ab342163d2a241c1e4891798b56f	'0x1466e20b84c61b28382a2b0bf871c3340580f110
'	'1000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xc7d3ac5ccaa44f3f0652613ab79adca97090e780	'0x146d91efa3fcc8a8c0abbea09d381f220aece99a
'	'1000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xb52284ffe2560aae7b4b61a4fd079d9ca8a8aeac	'0x15dbb685ab4be069f6cf9108d406b7798419dd74
'	'21367120000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xa6ae6a5d2853262a3f591043ea63d4b06940ef0f	'0x16bdf00830171746fa43e61ff4ce26d2fe5445c4
'	'1000000000000000000	'NDC	'0xa54ddc7b3cce7fc8b1e3fa0256d0db80d2c10970	'0xac558414d058f42665d4eeb66a1934d3f82f5cfd	'0x1774c5f0f58d6fe7180f8f247f8464d119af0c22
'	'1000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x2499e22e19b0af3c1ab82071db2a9c4fd7ed328d	'0x17e69da1b3190e64cba9550147673b248bfef427
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x0ca95b38cd1551a3db33f2b7ebeb40db84eba8f9	'0x18589669e1596f19e8bd77cd27083465e6de5340
'	'198315377	'STORJ	'0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac	'0x6bbb55bde42bb38f0fe70f3579c762bd6904813c	'0x1945bd97b65bc6adde161bc9051afcbc36de26aa
'	'299995048589999999990	'ETH	'0x0000000000000000000000000000000000000000	'0x73f879679b0fd8b25196834fe3e7a9615ea1b608	'0x199b5413311768050f8e2ff1c6e2c77ba28399e9
'	'1890601525423728813559	'GNT	'0xa74476443119a942de498590fe1f2454d7d4ac0d	'0x73f879679b0fd8b25196834fe3e7a9615ea1b608	'0x199b5413311768050f8e2ff1c6e2c77ba28399e9
'	'1000000000000000000000	'BNT	'0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c	'0x73f879679b0fd8b25196834fe3e7a9615ea1b608	'0x199b5413311768050f8e2ff1c6e2c77ba28399e9
'0x1c10ad0b5f1b4013173f05b4cc05a60cbbaa6536	'47584966474107188344858	'ETH	'0x0000000000000000000000000000000000000000	'0x72a7197bbccbe6ee1e9c688645436ed06017768a	'0x1c10ad0b5f1b4013173f05b4cc05a60cbbaa6536
'	'16358640000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xd7e7de032e4682cb150e8fe8c8dcbdc99b4c1fff	'0x1e05187cf4c993f1038bc38a7b299712915e2956
'	'16600000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xab88b9bc99476dd4d7d8a1d8381066519359f243	'0x1e3d67bb2976b5c9f54aaf05221e987076118955
'0xd7e48b46d08b424ee9f9ef93a6c7a832191cb46e	'604072730350000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xb52736b178bf12f133b0bbd108650b3b4121ef5c	'0x1e50209ea14c2cc92ef7c51bc57c99f1bd5f28f8
'	'20000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x30b3c64d43e7a1e8965d934fa96a3bfb33eee0d2	'0x1e757c0b7ae8caae96e0dbd147af74ce65659331
'	'1000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xc0968d7e104a06357c69e04e260a483b30c29a05	'0x1f5a524a636d9d421f5898cbc0e874d9b410dbe8
'0x21346283a31a5ad10fa64377e77a8900ac12d469	'120883241813525696659043	'ETH	'0x0000000000000000000000000000000000000000	'0xae307e3871e5a321c0559fbf0233a38c937b826a	'0x21346283a31a5ad10fa64377e77a8900ac12d469
'	'4177439400000000000	'GNO	'0x6810e776880c02933d47db1b9fc05908e5386b96	'0xde7119dc74161341e2f8b4ed1b73c0ccea1a481f	'0x275d1336dfc46e5ccdd1f96f2e11c6a84915dbc8
'	'9000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x8a65df1c21800cb3860d7ffab517bcceea685fb0	'0x2821c951d22fff9bf525ccf843e747ef74eaa71b
'	'20000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x76b51d3d4337b09757a412db0c57182329481a48	'0x2ae27e0568e187c4b8729ae1083856843b876850
'	'4000000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xd93719574b0bc5f691f5da8cae9599cec1f202c7	'0x3045267e9d268b447fb33125b7ee036e1a33bd14
'	'28000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x25e4af0dd6f4f7127a82a5a82a53e1e6aace4835	'0x309b4f147bed8b0c410d7eab9871fe37f26876a8
'	'50000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xb1acfe19d3277c9b6e29472dbbfa0fa96f81597d	'0x30e1f4f053e5491bb561114fbb2d31158a8fa572
'	'977120641896435752	'ETH	'0x0000000000000000000000000000000000000000	'0x956ff844abd8f58add1160c62810ad34befc8bbd	'0x323c27c3562559db6a44722940bb88a75d5c91d6
'	'6500750000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x26afa29ce626d9dcc331ad5e0fbd454ad6362c7c	'0x324567117a613d0a267a791766bf37682e2354e9
'	'265150000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xbcb2797f9a74d9099d6077c743feb3bc812eb2a4	'0x335a5684a788251e13ad27af6f409759d75d8ba6
'	'12145115000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xc6c554d741c0eac1f70deaec54943f62ac25946a	'0x34b8ba53e8a2dd995abff0dd4aa63c615f77601f
'0x00252cc27e0754062234e7fab4f00c8a49fe55e6	'27581716989999997952	'ETH	'0x0000000000000000000000000000000000000000	'0xb94f3a5ca67be4b33c73c16e84d7cd82277d772c	'0x34f216d63cc143bbb5fab6106b4d15457c1220d3
'	'3700000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xa7950e88d0c41c1396fcb84c2d50286194538b8f	'0x371a47672da989889dcf17d8991c6a361dc14d11
