returnAddress	amount	tokenSymbol	tokenAddr	oldWallet	newWallet
'	'202122540786000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xb4e63046001074b223872137174eec63a7e12cf5	'0x05276c19f670ffe7ba6b3bdc94e70c36b4b9dad5
'0x1446bf7af9df857b23a725646d94f9ec49802227	'3097000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x01dbb419d66be0d389fab88064493f1d698dc27a	'0x1446bf7af9df857b23a725646d94f9ec49802227
'	'147569289484035663753	'ETH	'0x0000000000000000000000000000000000000000	'0x164c2b90f83b67d897ff00899695430841e38536	'0x147df96860e20e30d52c26161a2df98c7bd86e9c
'	'10021257240000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xd74401db32ddd23127e7823887c5ca4d81631793	'0x2a96caf81ab6884205ded9801b8df8df1d047c00
'	'1050000000000000000000	'NET	'0xcfb98637bcae43c13323eaa1731ced2b716962fd	'0xd93719574b0bc5f691f5da8cae9599cec1f202c7	'0x3045267e9d268b447fb33125b7ee036e1a33bd14
'	'12155000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xb32db51ba30c80a21a775635c1b6d6a01754fd06	'0x304b8125c34f1f06a844037b86ad10e12ef85006
'	'1500000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x3b135dbf827508d8ed170548f157bdcd2dc857d3	'0x7565976a34efed9c0b70e962e24f183b592cb5f8
'0x7c31560552170ce96c4a7b018e93cddc19dc61b6	'100000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xc7a13c9ceba109499c2c00af977591b55a03e6af	'0x880edf80c2ede71795488af0df43f3a89fccae33
'	'1600100000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xb3740cefcc201d5cf1fa59143976332563314d82	'0xa1c0ddf6ac868baa85849d4d4e35d539087ff505
'	'1000000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x9f82984f02f42b31f24d37799c9d63604f9a6f15	'0xb24e9e3dc822daa8ace9af9c9b2ff8ab8348bc93
'	'100000000	'TKN	'0xaaaf91d9b90df800df4f55c205fd6989c977e73a	'0x4e2d0c204554c7f9cb1e3b3ac1e83dd3b4fc9622	'0xb3ec214cc056b637662a20457a417a4568291690
'0xc177c7b397e5cc44370921a07e6c8fe8704c1df7	'3916872255691581126717	'ETH	'0x0000000000000000000000000000000000000000	'0xce9f93eb7f78fcb7e7d222c81f258535dc218d4b	'0xbb1ad01b083f8d870c4c8bc0fb17beb620095bbf
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'100000000	'MYST	'0xa645264c5603e96c3b0b078cdab68733794b0a71	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd	'10000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0xd0f706bf4738732145344dc407d36b88859c3349	'0xc2216632beddb98f88e35b4e2cd8b9f140bb20cd
'	'2000000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x327bb6e6fff2c05e542c63b0fcfdd270734738ef	'0xd416335e4d5f7b14fc438f259d9e1d5c86477181
'	'22650000000000000000	'ETH	'0x0000000000000000000000000000000000000000	'0x7f379a0d99d224d487ae4751cbf261ae6037153e	'0xd78b479cc312c9a8b1a9604761258ab3713bb197
'	'1090549855887740000000000	'SNT	'0x744d70fdbe2ba4cf95131626614a1763df805b9e	'0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a	'0xde967734f602db0b83dba794e68e1d5f38b3c75f
'	'6999980000000000000000	'ANT	'0x960b236a07cf122663c4303350609a66a7b288c0	'0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a	'0xde967734f602db0b83dba794e68e1d5f38b3c75f
